Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика. исполнителя). подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация. осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32313093685;Прочие;Выполнение работ по проектированию и строительству трех портовых буксиров с ледовым классом для нужд ФГУП «Росморпорт» (ЦА 66-23);;;1;Выполнение работ по проектированию и строительству трех портовых буксиров с ледовым классом для нужд ФГУП «Росморпорт» (ЦА 66-23);2 834 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;15.12.2023;15.12.2023;Подача заявок;;15.12.2023;27.12.2023;
223-ФЗ;№31908274538;Прочие;Выполнение работ по разработке контрактного проекта на строительство многофункционального аварийно-спасательного судна мощностью 7 МВт;;;1;Выполнение работ по разработке контрактного проекта на строительство многофункционального аварийно-спасательного судна мощностью 7 МВт;1136166.67;RUB;;;;;71.12: Услуги в области инженерно-технического проектирования и связанные технические консультативные услуги;71.12: Услуги в области инженерно-технического проектирования и связанные технические консультативные услуги;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;05.09.2019;05.09.2019;Закупка завершена;;05.09.2019;13.09.2019;
223-ФЗ;№32312331299;Прочие;Выполнение работ по разработке проекта буксира ледового класса (ЦА 15-23);;;1;Выполнение работ по разработке проекта буксира ледового класса (ЦА 15-23);92 000 000,00;RUB;;;;;71.12.17.000: Услуги по инженерно-техническому проектированию производственных процессов и производств;71.12.17.000: Услуги по инженерно-техническому проектированию производственных процессов и производств;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;26.04.2023;16.05.2023;Закупка завершена;;26.04.2023;23.05.2023;
223-ФЗ;№32312783730;Прочие;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 59-23)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 59-23)";176 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;21.09.2023;21.09.2023;Закупка завершена;;21.09.2023;12.10.2023;
223-ФЗ;№32312893410;Прочие;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 77-23)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 77-23)";176 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;25.10.2023;25.10.2023;Закупка завершена;;25.10.2023;10.11.2023;
223-ФЗ;№32312980196;Прочие;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 82-23)";;;1;"Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП ""Росморпорт"" (КУ 82-23)";176 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;20.11.2023;20.11.2023;Закупка завершена;;20.11.2023;30.11.2023;
223-ФЗ;№31705166510;Открытый конкурс;выполнение работ по разработке проекта на строительство грузопассажирского судна для осуществления внутриобластных перевозок между Курильскими островами и между островом Сахалин и Курильскими островами (далее – Проектные работы);;;1;Выполнение работ по разработке проекта на строительство грузопассажирского судна для осуществления внутриобластных перевозок между Курильскими островами и между островом Сахалин и Курильскими островами;74 038 250,00;RUB;;;;;71.12: Услуги в области инженерно-технического проектирования и связанные технические консультативные услуги;71.12: Услуги в области инженерно-технического проектирования и связанные технические консультативные услуги;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САХАЛИНСКАЯ ЛИЗИНГОВАЯ КОМПАНИЯ РЫБОПРОМЫСЛОВОГО ФЛОТА""";;30.05.2017;09.06.2017;Закупка завершена;;30.05.2017;07.07.2017;
223-ФЗ;№32110367790;Прочие;Выполнение работ по разработке рабочей конструкторской документации для строительства судна;;;1;Выполнение работ по разработке рабочей конструкторской документации для строительства судна;1 839 500,00;RUB;;;;;74.90.19: Услуги консультативные научные и технические прочие. не включенные в другие группировки;74.90.19: Услуги консультативные научные и технические прочие. не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОСТРОИТЕЛЬНЫЙ ЗАВОД ""МОРЕ""";;09.06.2021;09.06.2021;Закупка завершена;;09.06.2021;;
223-ФЗ;№31908218858;Конкурс в электронной форме. участниками которого могут являться только субъекты малого и среднего предпринимательства;Выполнение работ по разработке рабочей конструкторской документации и сопровождению строительства прототипа маломерного научно-исследовательского судна «Пионер-М»;;;1;Выполнение работ по разработке рабочей конструкторской документации и сопровождению строительства прототипа маломерного научно-исследовательского судна «Пионер-М» (МСП);22 850 000,00;RUB;;;;;71.12.17: Услуги по инженерно-техническому проектированию производственных процессов и производств;71.12.17: Услуги по инженерно-техническому проектированию производственных процессов и производств;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СЕВАСТОПОЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";;20.08.2019;23.08.2019;Закупка завершена;;20.08.2019;28.08.2019;
223-ФЗ;№31908372904;Закупка у единственного поставщика (подрядчика. исполнителя);Выполнение работ по разработке рабочей конструкторской документации и сопровождению строительства прототипа маломерного научно-исследовательского судна «Пионер-М» ;;;1;Выполнение работ по разработке рабочей конструкторской документации и сопровождению строительства прототипа маломерного научно-исследовательского судна «Пионер-М» ;21 500 000,00;RUB;;;;;71.12.17: Услуги по инженерно-техническому проектированию производственных процессов и производств;71.12.17: Услуги по инженерно-техническому проектированию производственных процессов и производств;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СЕВАСТОПОЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";;04.10.2019;04.10.2019;Закупка завершена;;04.10.2019;;
223-ФЗ;№32111007664;Прочие;Выполнение работ по разработке технического проекта учебно-производственного судна с получением экспертного заключения стоимости строительства судна и положительного заключения ФАУ «Российский Речной Регистр». (БЗП 066/223/21-22);;;1;"Выполнение работ по разработке технического проекта учебно-производственного судна с получением экспертного заключения стоимости строительства судна и положительного заключения ФАУ ""Российский Речной Регистр""";27 600 000,00;RUB;;;;;41.10.10.000: Документация проектная для строительства;41.10.10.000: Документация проектная для строительства;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ ТРАНСПОРТА""";;29.12.2021;12.01.2022;Закупка завершена;;29.12.2021;21.01.2022;
223-ФЗ;№31401318769;Прочие;Выполнение работ по строительству  многоцелевого нефтеналивного судна с нефтесборным оборудованием согласно техническому заданию ОАО «Туапсинский морской торговый порт».;;;1;Выполнение работ по строительству  многоцелевого нефтеналивного судна с нефтесборным оборудованием согласно техническому заданию ОАО «Туапсинский морской торговый порт»;257 000 000,00;RUB;;;;;;;"Открытое акционерное общество ""Туапсинский морской торговый порт""";;07.07.2014;07.07.2014;Закупка завершена;;07.07.2014;12.07.2014;
44-ФЗ;№0190200000315009924;Электронный аукцион;Выполнение работ по строительству и доставке несамоходного рефрижераторного судна;;;;;70 000 000,00;RUB;;;;;;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""ДИРЕКЦИЯ ПО РАЗВИТИЮ СЕЛЬСКИХ ТЕРРИТОРИЙ""";департамент государственного заказа Ямало-Ненецкого автономного округа;29.10.2015;02.12.2015;Определение поставщика завершено;;29.10.2015;17.11.2015;
44-ФЗ;№0190200000315008084;Открытый конкурс;Выполнение работ по строительству и доставке несамоходного рефрижераторного судна;;;;;70 000 000,00;RUB;;;;;;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""ДИРЕКЦИЯ ПО РАЗВИТИЮ СЕЛЬСКИХ ТЕРРИТОРИЙ""";департамент государственного заказа Ямало-Ненецкого автономного округа;17.08.2015;15.09.2015;Определение поставщика завершено;;17.08.2015;14.09.2015;
223-ФЗ;№31907808276;Открытый конкурс;выполнение работ по строительству и поставке маломерных судов  для службы капитанов морских портов Мурманск и Архангельск ФГБУ «АМПЗападной Арктики» ;;;1;Выполнение работ по  строительству и поставке маломерных судов для службы капитана морского порта Мурманск. Архангельск;360 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";;23.04.2019;23.04.2019;Закупка завершена;;23.04.2019;13.05.2019;
223-ФЗ;№31907591401;Открытый конкурс;Выполнение работ по строительству и поставке разъездных катеров для службы капитанов морских портов Мурманск и Архангельск;;;1;Выполнение работ по строительству и поставке  разъездных катеров для службы капитана морского порта Мурманск. Архангельск;360 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";;28.02.2019;13.03.2019;Закупка завершена;;28.02.2019;21.03.2019;
44-ФЗ;№0173200001421000699;Электронный аукцион;"Выполнение работ по строительству ледокола-буксира для нужд ГУП ""Мосгортранс""";;'212770500260277050100100850010000000';;;173607884.56;RUB;;;;;41.20.40: Работы строительные по возведению нежилых зданий и сооружений (работы по строительству новых объектов. возведению пристроек. реконструкции и ремонту зданий);41.20.40.000-00000004: Выполнение работ по строительству объекта инфраструктуры внутренних водных путей;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""";ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;13.05.2021;25.05.2021;Определение поставщика завершено;;13.05.2021;24.05.2021;
223-ФЗ;№31806975039;Открытый конкурс;Выполнение работ по строительству маломерного судна-нефтемусоросборщика катамаранного типа;;;1;Выполнение работ по строительству маломерного судна-нефтемусоросборщика катамаранного типа;26356166.33;RUB;;;;;30.11: Корабли. суда и плавучие конструкции;30.11: Корабли. суда и плавучие конструкции;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;28.09.2018;28.09.2018;Закупка завершена;;28.09.2018;19.10.2018;
223-ФЗ;№31603968852;Открытый конкурс;Выполнение работ по строительству маломерного судна-нефтемусоросборщика катамаранного типа;;;1;Выполнение работ по строительству маломерного судна-нефтемусоросборщика катамаранного типа;18093068.99;RUB;;;;;30.11: Корабли. суда и плавучие конструкции;30.11: Корабли. суда и плавучие конструкции;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА РОСМОРРЕЧФЛОТА""";;05.08.2016;25.08.2016;Закупка завершена;;05.08.2016;12.09.2016;
44-ФЗ;№0373100134122000020;Открытый конкурс в электронной форме;Выполнение работ по строительству научно-исследовательского судна проекта ТСК.550;;'221770824572377190100100190033011407';;;489 372 100,00;RUB;;;;;30.11.31.119: Суда рыболовные прочие;30.11.31.119: Суда рыболовные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";26.09.2022;14.10.2022;Определение поставщика завершено;;;12.10.2022;
44-ФЗ;№0373100134122000016;Открытый конкурс в электронной форме;Выполнение работ по строительству научно-исследовательского судна проекта ТСК.550;;'221770824572377190100100190023011407';;;489 372 100,00;RUB;;;;;30.11.31.119: Суда рыболовные прочие;30.11.31.119: Суда рыболовные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";25.08.2022;23.09.2022;Определение поставщика завершено;;;23.09.2022;
44-ФЗ;№0373100134122000010;Открытый конкурс в электронной форме;Выполнение работ по строительству научно-исследовательского судна проекта ТСК.550;;'221770824572377190100100190013011407';;;489 372 100,00;RUB;;;;;30.11.31.119: Суда рыболовные прочие;30.11.31.119: Суда рыболовные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";13.07.2022;11.08.2022;Определение поставщика завершено;;;10.08.2022;
223-ФЗ;№32312540354;Прочие;Выполнение работ по строительству несамоходного грузопассажирского парома для нужд  АО «ПассажирРечТранс»;;;1;строительство несамоходного парома для перевозки автотранспорта и пассажиров;75 360 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАССАЖИРРЕЧТРАНС""";;30.06.2023;03.07.2023;Закупка завершена;;30.06.2023;12.07.2023;
44-ФЗ;№0373100119817000006;Открытый конкурс;выполнение работ по строительству объекта «Дноуглубительный флот» (строительство несамоходного многочерпакового земснаряда производительностью  250 м3/час класса РРР «? Р 1.2 (лед 10) А»);;'171770723151077070100100090013011414';;;529 326 303,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.11.2017;29.05.2018;Определение поставщика завершено;;16.11.2017;06.12.2017;
44-ФЗ;№0373100119820000001;Открытый конкурс в электронной форме;Выполнение работ по строительству объекта «Обновление обслуживающего флота (строительство и приобретение). Обстановочный теплоход «Обстановочное судно проекта 3052 класса РРР «X О-ПР 2.0 (лед 20)» в количестве 10-и единиц.;;'201770723151077070100100020013011414';;;1 581 600 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";30.04.2020;29.05.2020;Определение поставщика завершено;;30.04.2020;28.05.2020;
44-ФЗ;№0373100119820000002;Открытый конкурс в электронной форме;Выполнение работ по строительству объекта «Обновление обслуживающего флота (строительство и приобретение)» Обстановочное судно проекта 3050.1А класса РРР «X Р1.2(лед 20)А»  в количестве 13 – и единиц;;'201770723151077070100100010013011414';;;1 135 100 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";30.04.2020;02.07.2020;Определение поставщика завершено;;30.04.2020;28.05.2020;
44-ФЗ;№0373100119816000002;Открытый конкурс;Выполнение работ по строительству объекта «Обновление обслуживающего флота» (строительство несамоходного земснаряда производительностью 1000 м3/час класса РРР «X О 2.0 (лед 40) А»);;;;;834 434 103,00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.09.2016;24.01.2018;Определение поставщика завершено;;15.09.2016;03.10.2016;
44-ФЗ;№0373100119817000007;Открытый конкурс;выполнение работ по строительству объекта «Обстановочный теплоход» (строительство обстановочного судна пр. 3265 класса РРР «X М 3.0 (лед 30) А»);;'171770723151077070100100190033011414';;;299 800 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";17.11.2017;31.12.2017;Определение поставщика завершено;;17.11.2017;11.12.2017;
44-ФЗ;№0373100119817000008;Повторный конкурс;выполнение работ по строительству объекта «Промерный флот» (строительство промерного судна класса РРР «? О 2.0 (лед 20) А»);;'171770723151077070100100080013011414';;;197 473 610,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";30.11.2017;31.12.2017;Определение поставщика завершено;;30.11.2017;11.12.2017;
44-ФЗ;№0373100119817000004;Открытый конкурс;выполнение работ по строительству объекта «Промерный флот» (строительство промерного судна класса РРР «? О 2.0 (лед 20) А»);;'171770723151077070100100080013011414';;;197 473 610,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.11.2017;30.11.2017;Определение поставщика завершено;;10.11.2017;30.11.2017;
44-ФЗ;№0373100119817000003;Открытый конкурс;выполнение работ по строительству объекта «Промерный флот» (строительство промерного судна класса РРР «? Рмс 1.2 А»);;'171770723151077070100100070013011414';;;195 498 257,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";09.11.2017;04.01.2018;Определение поставщика завершено;;10.11.2017;30.11.2017;
44-ФЗ;№0373100119817000005;Открытый конкурс;выполнение работ по строительству объекта «Судно. предназначенное для сбора и переработки отходов. утилизации нефтесодержащих вод» (строительство танкера-бункеровщика - экологического судна пр. RТ37 класса РРР «X М 3.0 (лед 30) А»);;'171770723151077070100100050023011414';;;630 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.11.2017;09.12.2017;Определение поставщика завершено;;16.11.2017;06.12.2017;
44-ФЗ;№0102200001619003883;Электронный аукцион;Выполнение работ по строительству парома в с. Усть-Муя через р. Муя на автомобильной дороге местного значения Таксимо - Усть-Муя Муйского района Республики Бурятия;;'193031300173203130100100630014291414';;;12 186 970,00;RUB;;;;;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЙСКИЙ РАЙОН"" РЕСПУБЛИКИ БУРЯТИЯ";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;11.09.2019;25.09.2019;Определение поставщика завершено;;11.09.2019;19.09.2019;
44-ФЗ;№0102200001619002699;Электронный аукцион;Выполнение работ по строительству парома в с. Усть-Муя через р. Муя на автомобильной дороге местного значения Таксимо - Усть-Муя Муйского района Республики Бурятия;;'193031300173203130100100630014291414';;;12 186 970,00;RUB;;;;;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЙСКИЙ РАЙОН"" РЕСПУБЛИКИ БУРЯТИЯ";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;19.06.2019;08.07.2019;Определение поставщика завершено;;19.06.2019;05.07.2019;
44-ФЗ;№0102200001618005967;Электронный аукцион;Выполнение работ по строительству парома в с. Усть-Муя через р. Муя на автомобильной дороге местного значения Таксимо - Усть-Муя Муйского района Республики Бурятия;;'183031300173203130100100420014291000';;;5 513 290,00;RUB;;;;;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЙСКИЙ РАЙОН"" РЕСПУБЛИКИ БУРЯТИЯ";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;10.12.2018;26.12.2018;Определение поставщика завершено;;10.12.2018;26.12.2018;
44-ФЗ;№0102200001618005089;Электронный аукцион;Выполнение работ по строительству парома в с. Усть-Муя через р. Муя на автомобильной дороге местного значения Таксимо - Усть-Муя Муйского района Республики Бурятия;;'183031300173203130100100420014291000';;;5 513 290,00;RUB;;;;;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЙСКИЙ РАЙОН"" РЕСПУБЛИКИ БУРЯТИЯ";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;29.10.2018;10.12.2018;Определение поставщика завершено;;29.10.2018;15.11.2018;
44-ФЗ;№0102200001618003902;Электронный аукцион;Выполнение работ по строительству парома в с. Усть-Муя через р. Муя на автомобильной дороге местного значения Таксимо - Усть-Муя Муйского района Республики Бурятия;;'183031300173203130100100420014291000';;;5 513 290,00;RUB;;;;;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;42.91.20.190: Работы строительные и ремонтные. связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЙСКИЙ РАЙОН"" РЕСПУБЛИКИ БУРЯТИЯ";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;13.08.2018;09.10.2018;Определение поставщика завершено;;13.08.2018;29.08.2018;
